,tweet_id,name,stage,rating_numerator,rating_denominator,rating,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog,favorite_count,retweet_count,img_num,source,text,jpg_url
0,891815181378084864,Archie,None ,12.0,10.0,12.0,chihuahua,0.716012,True,malamute,0.078253,True,kelpie,0.0313789,True,24697,4092,1,Twitter for iPhone,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 ,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg
1,891689557279858688,Darla,None ,13.0,10.0,13.0,paper towel,0.17027799999999998,False,labrador retriever,0.168086,True,spatula,0.0408359,False,41579,8512,1,Twitter for iPhone,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us ,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg
2,891327558926688256,Franklin,None ,12.0,10.0,12.0,basset,0.555712,True,english springer,0.22577,True,german short-haired pointer,0.175219,True,39757,9228,2,Twitter for iPhone,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek ",https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg
3,891087950875897856,None,None ,13.0,10.0,13.0,chesapeake bay retriever,0.425595,True,irish terrier,0.116317,True,indian elephant,0.07690219999999999,False,19957,3067,1,Twitter for iPhone,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek ,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg
4,890729181411237888,None,None ,13.0,10.0,13.0,pomeranian,0.566142,True,eskimo dog,0.17840599999999998,True,pembroke,0.0765069,True,64574,18608,2,Twitter for iPhone,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 ,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg
5,890609185150312448,Zoey,None ,13.0,10.0,13.0,irish terrier,0.487574,True,irish setter,0.193054,True,chesapeake bay retriever,0.118184,True,27428,4213,1,Twitter for iPhone,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek ,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg
6,890006608113172480,Koda,None ,13.0,10.0,13.0,samoyed,0.957979,True,pomeranian,0.0138835,True,chow,0.00816748,True,30251,7230,1,Twitter for iPhone,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek ,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg
7,889638837579907072,Ted,None ,12.0,10.0,12.0,french bulldog,0.99165,True,boxer,0.00212864,True,staffordshire bullterrier,0.00149818,True,26804,4480,1,Twitter for iPhone,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist ,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg
8,889278841981685760,Oliver,None ,13.0,10.0,13.0,whippet,0.626152,True,borzoi,0.194742,True,saluki,0.0273507,True,24915,5304,1,Twitter for iPhone,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek ,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg
9,888917238123831296,Jim,None ,12.0,10.0,12.0,golden retriever,0.714719,True,tibetan mastiff,0.120184,True,labrador retriever,0.105506,True,28692,4430,1,Twitter for iPhone,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both ,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg
10,888554962724278272,Ralphus,None ,13.0,10.0,13.0,siberian husky,0.700377,True,eskimo dog,0.166511,True,malamute,0.111411,True,19582,3499,3,Twitter for iPhone,This is Ralphus. He's powering up. Attempting maximum borkdrive. 13/10 inspirational af ,https://pbs.twimg.com/media/DFTH_O-UQAACu20.jpg
11,888078434458587136,Gerald,None ,12.0,10.0,12.0,french bulldog,0.995026,True,pug,0.000931908,True,bull mastiff,0.000903211,True,21476,3447,1,Twitter for iPhone,This is Gerald. He was just told he didn't get the job he interviewed for. A h*ckin injustice. 12/10 didn't want the job anyway ,https://pbs.twimg.com/media/DFMWn56WsAAkA7B.jpg
12,887705289381826560,Jeffrey,None ,13.0,10.0,13.0,basset,0.821664,True,redbone,0.0875815,True,weimaraner,0.026236400000000003,True,29762,5315,1,Twitter for iPhone,This is Jeffrey. He has a monopoly on the pool noodles. Currently running a 'boop for two' midweek sale. 13/10 h*ckin strategic ,https://pbs.twimg.com/media/DFHDQBbXgAEqY7t.jpg
13,887517139158093824,None,None ,14.0,10.0,14.0,limousine,0.130432,False,tow truck,0.0291754,False,shopping cart,0.0263208,False,45652,11503,1,Twitter for iPhone,I've yet to rate a Venezuelan Hover Wiener. This is such an honor. 14/10 paw-inspiring af (IG: roxy.thedoxy) ,https://pbs.twimg.com/ext_tw_video_thumb/887517108413886465/pu/img/WanJKwssZj4VJvL9.jpg
14,887343217045368832,None,None ,13.0,10.0,13.0,mexican hairless,0.330741,True,sea lion,0.275645,False,weimaraner,0.134203,True,33226,10258,1,Twitter for iPhone,You may not have known you needed to see this today. 13/10 please enjoy (IG: emmylouroo) ,https://pbs.twimg.com/ext_tw_video_thumb/887343120832229379/pu/img/6HSuFrW1lzI_9Mht.jpg
